id,ids of components,two_components,relation type
1003,"[1501, 1503]","['We are truly shocked by the number of victims among the civilian population in eastern Ukraine.', 'The carnage must end.']",support
1004,"[1506, 1507]","['The agreement in Berlin on 2 July provided a vehicle for talks.', 'Yet separatists and terrorists in the eastern part of Ukraine continued to sow terror, loot, rob banks, racketeer, kidnap people and traffic in human beings.']",attack
1005,"[1505, 1507]","['Ukraine declared a unilateral ceasefire.', 'Yet separatists and terrorists in the eastern part of Ukraine continued to sow terror, loot, rob banks, racketeer, kidnap people and traffic in human beings.']",attack
1006,"[1504, 1507]","['President Poroshenko proposed a peace plan.', 'Yet separatists and terrorists in the eastern part of Ukraine continued to sow terror, loot, rob banks, racketeer, kidnap people and traffic in human beings.']",attack
1007,"[1508, 1507]","['The massive and continuous influx of foreign fighters from across the Russian border into the neighbouring Luhansk and Donetsk regions has gone unabated.', 'Yet separatists and terrorists in the eastern part of Ukraine continued to sow terror, loot, rob banks, racketeer, kidnap people and traffic in human beings.']",support
1008,"[1509, 1507]","['That influx has been accompanied by T-65 tanks, Grad multiple rocket launchers, anti-aircraft guns, towed anti-tank guns, BTR armoured personnel carriers, man-portable air defence systems and small arms.', 'Yet separatists and terrorists in the eastern part of Ukraine continued to sow terror, loot, rob banks, racketeer, kidnap people and traffic in human beings.']",support
1009,"[1511, 1510]","['Russian military helicopters and drones violate Ukrainian airspace, while 40,000 troops are encamped within minutes of the Ukrainian border, in addition to the 20,000 troops stationed in occupied Crimea.', 'In fact, the terrorists in Donbas hardly bothered to remove the markings of Russian military units from their heavy weapons.']",support
1010,"[1512, 1510]","['Russian citizens, many of whom are veterans of the conflicts in Chechnya and Transdnistria, lead many of the terrorist groups.', 'In fact, the terrorists in Donbas hardly bothered to remove the markings of Russian military units from their heavy weapons.']",support
1011,"[1514, 1513]","['The mouthpiece of the separatists, Life News, boasts of the agility of rebels to shoot down any plane in sight.', 'The Russian media channels are putting out ongoing anti-Ukrainian propaganda.']",support
1012,"[1516, 1515]","['The abducted and hooded Ukrainian pilot Nadia Savchenko was trafficked by separatists from Ukraine straight to the Russian Voronezh pretrial detention centre.', 'The terrorists and separatists continue to take hostages.']",support
1013,"[1516, 1517]","['The abducted and hooded Ukrainian pilot Nadia Savchenko was trafficked by separatists from Ukraine straight to the Russian Voronezh pretrial detention centre.', 'We condemn the unlawful detention of Ukrainian citizens in Russia.']",support
1014,"[1528, 1529]","['Our priority now is to establish the facts.', 'Pending that, it is not advisable to jump to any conclusion, make any assumptions or trade accusations.']",support
